"DateOfEvent","FoodOrder","ClientID","CateringID"
"July 4th, 2025","Grilled Salmon, Garlic Mashed Potatoes, Mixed Vegetables","4033","5452"
"October 10th, 2024","Vegan Lasagna, Roasted Vegetables, Garden Salad","7092","6192"
"November 19th, 2025","BBQ Ribs, Baked Beans, Cornbread, Watermelon, Bread","2318","4606"
"December 24th, 2025","Shrimp Cocktail, Filet Mignon, Caesar Salad, Charcuterie Board","6289","4453"
"March 23rd, 2023","Pancakes, Fresh Fruit Platter, Scrambled Eggs, Bacon","9829","8448"
"April 16th, 2020","Chicken Tacos, Tamales, Quesadillas, Guacamole, Spanish Rice","8231","8880"
"June 9, 2019","Hummus Platter, Grilled Lamb, Couscous Salad, Pico de Gallo, Tzatziki","1199","9058"
"August 29, 2025","Sushi Rolls, Teriyaki Chicken, Fried Rice, Tuna Tartar","9444","8652"
"April 6, 2025","Cheeseburgers, Hot Dogs, French Fries","2410","6084"
"May 27, 2025","Cupcakes, Cheesecake Bites, Chocolate Fountain, Chocolate Chip Cookies","9753","4463"
"June 5, 2022","Fruit, Cheese, Carbonated Soda, Alcohol","7777","331"
"August 25, 2026","Pizza, Grilled Cheese, Mozzarella Sticks, French Fries","6446","5288"
