"TypeOfAdditionalEventSupply","QuantityOfNeededAdditionalEventSupply","CateringID","ClientID"
"Tables, Chairs, Utensils, Velvet Tablecloths","Tables (20), Chairs (50), Utensils (100), Velvet Tablecloths (20)","5452","4033"
"Bamboo Plates, Compostable Cups, Cloth Napkins","Bamboo Plates (30), Compostable Cups (30), Cloth Napkins (200)","6192","7092"
"Serving Trays, Chafing Dishes, Tongs, Flatware, Tables, Chairs, Umbrellas, Candles","Serving Trays (15), Chafing Dishes (8), Tongs (10), Utensils (50), Tables (20), Chairs (20), Umbrellas (20), Candles (100)","4606","2318"
"Wine Glasses, Cloth Tablecloths, Serving Utensils","Wine Glasses (50), Cloth Tablecloths (12), Serving Utensils (15)","4453","6289"
"Coffee Carafes, Mugs, Pastry Stands, Warming Tray","Coffee Carafes (5), Mugs (25), Pastry Stands (6), Warming Tray (5)","8448","9829"
"Buffet Tables, Serving Spoons, Napkin Holders","Buffet Tables (6), Serving Spoons (4), Napkin Holders (50)","8880","8231"
"Tables, Decorative Lanterns, Cutlery Sets, Hookah","Tables (8), Decorative Lanterns (15), Cutlery Sets (40), Hookah (5)","9058","1199"
"Chopsticks, Serving Platters, Table Linens, Wine Glasses","Chopsticks (60), Serving Platters (12), Table Linens (10), Wine Glasses (100)","8652","9444"
"Folding Tables, Paper Plates, Drink Coolers","Folding Tables (10), Paper Plates (40), Drink Coolers (5)","6084","2410"
"Dessert Plates, Decorative Lights, Serving Tongs","Dessert Plates (25), Decorative Lights (12), Serving Tongs (10)","4463","9753"
"Standing Heaters, Tables, Chairs","Standing Heaters (10), Tables(10), Chairs (100)","331","7777"
